id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
34965,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 13/9-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 12 Sep 03: ""Ogaden rebel group catalogues battle victories in southeastern Ethiopia",,,,,2,Danod town,Somali state,Warder zone,7.55583,45.28917,POINT (45.289170 7.555830),140851,Ethiopia,530,ETH,Africa,1,4,2003-08-01,2003-08-31,0,0,0,0,0,0,4
34707,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 22/8-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 22 Aug 03: ""Ethiopia: Ogaden rebel group claims killing several government forces in east",,,,,1,Degehabur town,Somali state,Degehabur zone,8.220556,43.557222,POINT (43.557222 8.220556),141568,Ethiopia,530,ETH,Africa,1,1,2003-08-07,2003-08-07,0,0,0,0,0,0,3
34658,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 30/8-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 29 Aug 03: ""Ethiopia: Ogaden rebels claim attack on government military camp",,,,,2,Degehamedo woreda,Somali state,Degehabur zone,8.242468,42.961308,POINT (42.961308 8.242468),141566,Ethiopia,530,ETH,Africa,1,1,2003-08-21,2003-08-21,0,0,0,0,0,0,2
35197,2003,1,2003,2003,1,413,Ethiopia: Oromiya,869,Government of Ethiopia - OLF,97,530.0,Government of Ethiopia,551,,OLF,-1,"BBC Monitoring Africa 7/9-03;Voice of Oromo Liberation in Amharic 1730 gmt 7 Sep 03: ""Ethiopia: Oromo rebels claim killing 14 government soldiers in south",,,,,3,Bale zone,Oromiya state,Bale zone,7.0,39.983333,POINT (39.983333 7.000000),140120,Ethiopia,530,ETH,Africa,1,1,2003-08-23,2003-08-23,0,0,0,0,0,0,14
34653,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 13/9-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 12 Sep 03: ""Ogaden rebel group catalogues battle victories in southeastern Ethiopia",,,,,2,Garbo woreda,Somali state,Fiq zone,7.560831,42.963969,POINT (42.963969 7.560831),140846,Ethiopia,530,ETH,Africa,1,1,2003-08-25,2003-08-25,0,0,0,0,0,0,8
35483,2003,1,2003,2003,3,474,Government of Ethiopia - Civilians,941,Government of Ethiopia - Civilians,97,530.0,Government of Ethiopia,1,,Civilians,-1,"Operation Sunny Mountain, 16",,,,Interview,1,Pinyudo town,Gambella state,Administrative zone 2,7.75,34.5,POINT (34.500000 7.750000),140830,Ethiopia,530,ETH,Africa,1,4,2003-09-01,2003-09-30,0,0,2,0,2,2,2
35533,2003,1,2003,2003,3,474,Government of Ethiopia - Civilians,941,Government of Ethiopia - Civilians,97,530.0,Government of Ethiopia,1,,Civilians,-1,"Operation Sunny Mountain, 16",,,,Interview,1,Perbongo village,Gambella state,Administrative zone 2,7.9,34.35,POINT (34.350000 7.900000),140829,Ethiopia,530,ETH,Africa,1,4,2003-09-01,2003-09-30,0,0,4,0,4,4,4
35586,2003,1,2003,2003,3,474,Government of Ethiopia - Civilians,941,Government of Ethiopia - Civilians,97,530.0,Government of Ethiopia,1,,Civilians,-1,"Operation Sunny Mountain, 16",,,,Interview,2,Pinyudo town,Gambella state,Administrative zone 2,7.75,34.5,POINT (34.500000 7.750000),140830,Ethiopia,530,ETH,Africa,1,4,2003-09-01,2003-09-30,0,0,1,0,1,1,1
33941,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 13/9-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 12 Sep 03: ""Ogaden rebel group catalogues battle victories in southeastern Ethiopia",,,,,2,Kebridehar woreda,Somali state,Korahe zone,6.919659,44.149399,POINT (44.149399 6.919659),139409,Ethiopia,530,ETH,Africa,1,1,2003-09-02,2003-09-02,0,0,0,0,0,0,3
35020,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 13/9-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 12 Sep 03: ""Ogaden rebel group catalogues battle victories in southeastern Ethiopia",,,,,2,Garbo woreda,Somali state,Fiq zone,7.560831,42.963969,POINT (42.963969 7.560831),140846,Ethiopia,530,ETH,Africa,1,1,2003-09-02,2003-09-02,0,0,0,0,0,0,7
35022,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 13/9-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 12 Sep 03: ""Ogaden rebel group catalogues battle victories in southeastern Ethiopia",,,,,2,Degehabur town,Somali state,Degehabur zone,8.220556,43.557222,POINT (43.557222 8.220556),141568,Ethiopia,530,ETH,Africa,1,1,2003-09-04,2003-09-04,0,0,0,0,0,0,12
34278,2003,0,2003,2003,2,4672,Dassanetch - Turkana,5282,Dassanetch - Turkana,713,,Dassanetch,693,,Turkana,-1,CEWARN Baseline Report for the Karamoja cluster,,,,,2,Dassenech woreda,SNNP state,South Omo zone,4.833333,36.1,POINT (36.100000 4.833333),136513,Ethiopia,530,ETH,Africa,1,3,2003-09-06,2003-09-12,3,0,0,0,3,3,3
35553,2003,1,2003,2003,3,474,Government of Ethiopia - Civilians,941,Government of Ethiopia - Civilians,97,530.0,Government of Ethiopia,1,,Civilians,-1,"Operation Sunny Mountain, 16",,,,Interview,2,Abobo town,Gambella state,Administrative zone 2,7.85,34.55,POINT (34.550000 7.850000),140830,Ethiopia,530,ETH,Africa,1,4,2003-10-01,2003-10-31,0,0,8,0,8,8,8
34824,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 19/11-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 18 Nov 03:""Ethiopia: Ogaden rebel group reports clashes with government forces",,,,,2,Kebridehar woreda,Somali state,Korahe zone,6.919659,44.149399,POINT (44.149399 6.919659),139409,Ethiopia,530,ETH,Africa,2,3,2003-11-02,2003-11-08,0,0,0,0,0,0,8
35334,2003,1,2003,2003,1,413,Ethiopia: Oromiya,869,Government of Ethiopia - OLF,97,530.0,Government of Ethiopia,551,,OLF,-1,"BBC Monitoring Africa 20/11-03; Voice of Oromo Liberation audio web site in Oromo 18 Nov 03: ""Oromo forces reportedly kill five soldiers, injure four others in east Ethiopia",,,,,2,Babile woreda,Oromiya state,East Hararghe zone,9.225555,42.332222,POINT (42.332222 9.225555),143005,Ethiopia,530,ETH,Africa,1,1,2003-11-14,2003-11-14,0,0,0,0,0,0,9
35057,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 5/12-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 5 Dec 03: ""Ethiopia: Ogaden rebel group claims killing 65 government soldiers in southeast",,,,,2,Aware woreda,Somali state,Degehabur zone,8.256111,44.156667,POINT (44.156667 8.256111),141569,Ethiopia,530,ETH,Africa,1,4,2003-11-15,2003-11-30,0,0,0,0,0,0,30
35793,2003,1,2003,2003,2,4683,Oromo - Somali (Ethiopia),5293,Oromo - Somali (Ethiopia),664,,Oromo,685,,Somali (Ethiopia),-1,http://www.ehrco.net/reports/special_report_71.pdf,,,,,2,Mieso woreda,Oromiya state,West Hararghe zone,9.166666,40.666666,POINT (40.666666 9.166666),143002,Ethiopia,530,ETH,Africa,1,1,2003-11-16,2003-11-16,9,10,0,0,19,19,19
32125,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 5/12-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 5 Dec 03: ""Ethiopia: Ogaden rebel group claims killing 65 government soldiers in southeast",,,,,3,Korahe zone,Somali state,Korahe zone,6.74,44.27806,POINT (44.278060 6.740000),139409,Ethiopia,530,ETH,Africa,1,1,2003-11-23,2003-11-23,0,0,0,0,0,0,8
35104,2003,1,2003,2003,1,329,Ethiopia: Ogaden,719,Government of Ethiopia - ONLF,97,530.0,Government of Ethiopia,497,,ONLF,-1,"BBC Monitoring Africa 5/12-03; Radio Freedom, Voice of the Ogadeni People audio web site in Somali 5 Dec 03: ""Ethiopia: Ogaden rebel group claims killing 65 government soldiers in southeast",,,,,2,Garbo woreda,Somali state,Fiq zone,7.560831,42.963969,POINT (42.963969 7.560831),140846,Ethiopia,530,ETH,Africa,1,1,2003-11-23,2003-11-23,0,0,0,0,0,0,15
35757,2003,0,2003,2003,2,4613,Nyangatom  - Turkana,5223,Nyangatom  - Turkana,712,,Nyangatom ,693,,Turkana,-1,CEWARN Baseline Report for the Karamoja cluster,,,,,2,Nyape area,SNNP state,South Omo zone,5.29751,35.86729,POINT (35.867290 5.297510),137232,Ethiopia,530,ETH,Africa,1,1,2003-11-26,2003-11-26,1,0,0,0,1,1,1
35202,2003,1,2003,2003,1,413,Ethiopia: Oromiya,869,Government of Ethiopia - OLF,97,530.0,Government of Ethiopia,551,,OLF,-1,"BBC Monitoring Africa 5/12-03; Seifenebelbal, Addis Ababa, in Amharic 5 Dec 03: ""Ethiopia: Oromo rebel group says it killed 11 government soldiers",,,,,4,Oromiya state,Oromiya state,,8.0,39.0,POINT (39.000000 8.000000),141559,Ethiopia,530,ETH,Africa,1,3,2003-11-26,2003-12-02,0,0,0,0,0,0,11
33275,2003,1,2003,2003,2,4606,Dawa - Gura,5216,Dawa - Gura,596,,Dawa,614,,Gura,-1,,,,,"US State Department, Country Reports on Human Rights Practices - 2003, at http://www.state.gov/g/drl/rls/hrrpt/2003/27727.htm",2,Goro woreda,Oromiya state,Bale zone,6.983333,40.5,POINT (40.500000 6.983333),139402,Ethiopia,530,ETH,Africa,2,4,2003-11-28,2003-12-06,0,0,0,55,55,55,55
